income,gsv_apartments,gsv_commercial,gsv_greenery,gsv_historical,gsv_impervious,gsv_industrial,gsv_other,gsv_private,gsv_water,gsv_hue_mean,gsv_hue_std,gsv_hue_maj,gsv_saturation_mean,gsv_saturation_std,gsv_saturation_maj,gsv_brightness_mean,gsv_brightness_std,gsv_brightness_maj,gsv_entropy_mean,gsv_entropy_std,gsv_entropy_maj,gsv_std_mean,gsv_std_std,gsv_std_maj,gsv_contrast_mean,gsv_contrast_std,gsv_contrast_maj,gsv_dissimilarity_mean,gsv_dissimilarity_std,gsv_dissimilarity_maj,gsv_homogeneity_mean,gsv_homogeneity_std,gsv_homogeneity_maj,gsv_ASM_mean,gsv_ASM_std,gsv_ASM_maj,gsv_energy_mean,gsv_energy_std,gsv_energy_maj,gsv_correlation_mean,gsv_correlation_std,gsv_correlation_maj
00-20 low,1,1,0,0,0,0,0,0,0,23,2.94392,20,0.213783,0.012976,0.195445,0.546916,0.02139,0.5205,2.126944,0.084253,2.024803,0.228972,0.020573,0.199877,489.382373,46.416489,451.488113,12.572222,0.93913,11.51489,0.198351,0.008262,0.186766,3.17e-4,6.7e-5,2.52e-4,0.017723,0.001842,0.015866,0.910356,0.017793,0.885272
00-20 low,0,0,0,2,0,0,0,0,0,123.666667,58.334286,78,0.171191,0.039828,0.115323,0.440549,0.06341,0.382989,2.032489,0.067413,1.980106,0.199384,0.008669,0.189193,495.202737,124.904765,387.992892,11.95962,1.096292,10.86777,0.222939,0.028655,0.195238,5.54e-4,1.9e-4,4.15e-4,0.023225,0.003858,0.020366,0.906266,0.015683,0.884095
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,216,1.632993,214,0.244349,0.003791,0.239947,0.595876,0.118369,0.431812,1.927802,0.073855,1.847086,0.221608,0.046252,0.157267,353.51152,51.608499,282.078217,9.927165,0.89994,8.668107,0.244794,0.030753,0.208588,4.79e-4,6.8e-5,4.15e-4,0.021841,0.001525,0.020373,0.925979,0.034796,0.876857
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,6,0,0,0,0,0,0,1,0,57.888889,24.798945,26,0.225049,0.075662,0.119418,0.45301,0.06896,0.382282,2.053934,0.083901,1.876742,0.217998,0.026053,0.183771,328.258602,71.41758,214.528462,10.162088,1.597064,7.286183,0.214577,0.041805,0.143449,4.81e-4,2.37e-4,1.89e-4,0.021287,0.005257,0.013741,0.939479,0.020153,0.901031
00-20 low,0,0,0,0,0,0,1,0,0,88.666667,86.549921,24,0.19087,0.031252,0.148858,0.511102,0.020212,0.492477,2.127244,0.02434,2.098692,0.246029,0.020144,0.228371,405.884569,2.048042,403.963205,11.63894,0.325371,11.20144,0.188186,0.008483,0.178446,3.71e-4,3.5e-5,3.3e-4,0.019227,9.16e-4,0.01816,0.942316,0.010406,0.932827
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,123.333333,62.887907,73,0.168822,0.056556,0.125219,0.477127,0.042748,0.418582,2.007209,0.034347,1.958658,0.177907,0.0064,0.16886,283.23219,31.18061,244.069271,9.374122,0.827079,8.241942,0.202606,0.033108,0.157119,3.42e-4,9.2e-5,2.19e-4,0.0183,0.002591,0.014796,0.928398,0.013614,0.910554
00-20 low,0,2,0,0,1,0,0,0,0,31.333333,3.299832,29,0.10452,0.003776,0.101228,0.540976,0.002597,0.537322,2.114875,0.010555,2.106169,0.194188,0.011677,0.183031,150.068903,16.924281,134.100337,6.479218,0.506767,5.934896,0.278186,0.028758,0.241908,5.35e-4,1.94e-4,3.59e-4,0.022778,0.004044,0.018958,0.968179,0.00573,0.961891
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,2,1,0,0,0,0,0,0,0,39.333333,5.436502,32,0.133998,0.0105,0.126392,0.558251,0.013515,0.546589,2.058118,0.020775,2.031969,0.199816,0.009164,0.187773,216.892269,86.935045,135.32981,7.363307,1.432588,6.07742,0.262129,0.02051,0.233825,5.33e-4,2.7e-5,4.96e-4,0.023081,5.92e-4,0.022277,0.951384,0.024392,0.917327
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-20 low,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
